function,dimension,screen_mode,seed,true_min_score,endpoint_min_score,nuisance_max_score,support_score_gap,endpoint_score_gap
core_interaction,50,random,8,0.0,0.0,2.7724361419677734,-2.7724361419677734,-2.7724361419677734
core_interaction,50,random,9,0.0,0.0,8.5790376663208,-8.5790376663208,-8.5790376663208
core_interaction,50,exclude_interaction,0,0.0,0.0,9.433918952941895,-9.433918952941895,-9.433918952941895
core_interaction,50,exclude_interaction,1,0.0,0.0,8.601277351379395,-8.601277351379395,-8.601277351379395
core_interaction,50,exclude_interaction,2,0.0,0.0,10.05405330657959,-10.05405330657959,-10.05405330657959
core_interaction,50,exclude_interaction,3,0.0,0.0,3.1268067359924316,-3.1268067359924316,-3.1268067359924316
core_interaction,50,exclude_interaction,4,0.0,0.0,8.39935302734375,-8.39935302734375,-8.39935302734375
core_interaction,50,exclude_interaction,5,0.0,0.0,9.870710372924805,-9.870710372924805,-9.870710372924805
core_interaction,50,exclude_interaction,6,0.0,0.0,8.921686172485352,-8.921686172485352,-8.921686172485352
core_interaction,50,exclude_interaction,7,0.0,0.0,5.449481964111328,-5.449481964111328,-5.449481964111328
core_interaction,50,exclude_interaction,8,0.0,0.0,2.940269708633423,-2.940269708633423,-2.940269708633423
core_interaction,50,exclude_interaction,9,0.0,0.0,9.453763961791992,-9.453763961791992,-9.453763961791992
core_interaction,5,raw,0,0.5465525388717651,0.5465525388717651,0.005241910461336374,0.5413106284104288,0.5413106284104288
core_interaction,5,raw,1,0.5606299638748169,0.5606299638748169,0.0007636691443622112,0.5598662947304547,0.5598662947304547
core_interaction,5,raw,2,0.5339195728302002,0.5339195728302002,0.007272984832525253,0.5266465879976749,0.5266465879976749
core_interaction,5,raw,3,0.5590305328369141,0.5590305328369141,0.013588547706604004,0.5454419851303101,0.5454419851303101
core_interaction,5,raw,4,0.5651388168334961,0.5651388168334961,0.005135867744684219,0.5600029490888119,0.5600029490888119
core_interaction,5,raw,5,0.5931920409202576,0.5931920409202576,0.0012692848686128855,0.5919227560516447,0.5919227560516447
core_interaction,5,raw,6,0.5731930136680603,0.5731930136680603,0.0018965627532452345,0.5712964509148151,0.5712964509148151
core_interaction,5,raw,7,0.578166127204895,0.578166127204895,0.014731932431459427,0.5634341947734356,0.5634341947734356
core_interaction,5,raw,8,0.5914192199707031,0.5914192199707031,0.001305494806729257,0.5901137251639739,0.5901137251639739
