model,explain_method,seed,function,samples,dimension,noise,variable_index,score,is_active,source_file
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,8,0.002536455867812,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,9,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,10,0.0074924626387655,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,11,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,12,0.0017267068615183,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,13,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,14,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,15,0.0761884078383445,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,16,0.0018111864337697,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,17,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,18,0.0724801197648048,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,19,0.0381913967430591,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,20,0.0408639907836914,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,21,0.033119361847639,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,22,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,23,0.1066402569413185,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,24,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,25,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,26,0.0181105136871337,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,27,0.0661743506789207,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,28,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,29,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,30,0.0726757869124412,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,31,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,32,0.0930163860321044,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,33,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,34,0.0553081035614013,0,core_d100_nonoracle_scores.csv
