source_file,function,explain_method,variable,is_true_active,selection_frequency,mean_importance
core_d100_noise00.csv,core_interaction,perm,42,0,0.0,
core_d100_noise00.csv,core_interaction,perm,43,0,0.0,
core_d100_noise00.csv,core_interaction,perm,44,0,0.0,
core_d100_noise00.csv,core_interaction,perm,45,0,0.0,
core_d100_noise00.csv,core_interaction,perm,46,0,0.2,
core_d100_noise00.csv,core_interaction,perm,47,0,0.0,
core_d100_noise00.csv,core_interaction,perm,48,0,0.0,
core_d100_noise00.csv,core_interaction,perm,49,0,0.0,
core_d100_noise00.csv,core_interaction,perm,50,0,0.0,
core_d100_noise00.csv,core_interaction,perm,51,0,0.0,
core_d100_noise00.csv,core_interaction,perm,52,0,0.0,
core_d100_noise00.csv,core_interaction,perm,53,0,0.0,
core_d100_noise00.csv,core_interaction,perm,54,0,0.0,
core_d100_noise00.csv,core_interaction,perm,55,0,0.0,
core_d100_noise00.csv,core_interaction,perm,56,0,0.0,
core_d100_noise00.csv,core_interaction,perm,57,0,0.0,
core_d100_noise00.csv,core_interaction,perm,58,0,0.0,
core_d100_noise00.csv,core_interaction,perm,59,0,0.0,
core_d100_noise00.csv,core_interaction,perm,60,0,0.0,
core_d100_noise00.csv,core_interaction,perm,61,0,0.0,
core_d100_noise00.csv,core_interaction,perm,62,0,0.0,
core_d100_noise00.csv,core_interaction,perm,63,0,0.0,
core_d100_noise00.csv,core_interaction,perm,64,0,0.0,
core_d100_noise00.csv,core_interaction,perm,65,0,0.0,
core_d100_noise00.csv,core_interaction,perm,66,0,0.0,
core_d100_noise00.csv,core_interaction,perm,67,0,0.0,
core_d100_noise00.csv,core_interaction,perm,68,0,0.0,
core_d100_noise00.csv,core_interaction,perm,69,0,0.0,
core_d100_noise00.csv,core_interaction,perm,70,0,0.0,
core_d100_noise00.csv,core_interaction,perm,71,0,0.4,
core_d100_noise00.csv,core_interaction,perm,72,0,0.0,
core_d100_noise00.csv,core_interaction,perm,73,0,0.0,
core_d100_noise00.csv,core_interaction,perm,74,0,0.0,
core_d100_noise00.csv,core_interaction,perm,75,0,0.0,
core_d100_noise00.csv,core_interaction,perm,76,0,0.0,
core_d100_noise00.csv,core_interaction,perm,77,0,0.0,
core_d100_noise00.csv,core_interaction,perm,78,0,0.0,
core_d100_noise00.csv,core_interaction,perm,79,0,0.2,
core_d100_noise00.csv,core_interaction,perm,80,0,0.0,
core_d100_noise00.csv,core_interaction,perm,81,0,0.0,
core_d100_noise00.csv,core_interaction,perm,82,0,0.0,
core_d100_noise00.csv,core_interaction,perm,83,0,0.0,
core_d100_noise00.csv,core_interaction,perm,84,0,0.0,
core_d100_noise00.csv,core_interaction,perm,85,0,0.2,
core_d100_noise00.csv,core_interaction,perm,86,0,0.0,
core_d100_noise00.csv,core_interaction,perm,87,0,0.0,
core_d100_noise00.csv,core_interaction,perm,88,0,0.0,
core_d100_noise00.csv,core_interaction,perm,89,0,0.0,
core_d100_noise00.csv,core_interaction,perm,90,0,0.0,
core_d100_noise00.csv,core_interaction,perm,91,0,0.0,
core_d100_noise00.csv,core_interaction,perm,92,0,0.0,
core_d100_noise00.csv,core_interaction,perm,93,0,0.0,
core_d100_noise00.csv,core_interaction,perm,94,0,0.0,
core_d100_noise00.csv,core_interaction,perm,95,0,0.0,
core_d100_noise00.csv,core_interaction,perm,96,0,0.0,
core_d100_noise00.csv,core_interaction,perm,97,0,0.0,
core_d100_noise00.csv,core_interaction,perm,98,0,0.0,
core_d100_noise00.csv,core_interaction,perm,99,0,0.0,
core_d100_noise00_interactions.csv,core_interaction,grad,0,1,1.0,2.8464502334594726
core_d100_noise00_interactions.csv,core_interaction,grad,1,1,0.8,0.8519576072692872
