function,samples,dimension,noise,nuisance_correlation,n_correlated_proxies,width_hidden,grid,k,lamb,probe_steps,method,top_m,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,true_endpoint_rank_mean_mean,true_endpoint_rank_mean_std,true_endpoint_rank_worst_mean,true_endpoint_rank_worst_std,true_endpoint_score_mean_mean,true_endpoint_score_mean_std,max_nuisance_score_mean,max_nuisance_score_std,endpoint_minus_max_nuisance_mean,endpoint_minus_max_nuisance_std,num_support_evals,setting
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0236855682463239,0.0007813515072963,0.0128618988821899,0.0001545690111549,0.0108236693641339,0.0008321403050615,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0236855682463239,0.0007813515072963,0.0128618988821899,0.0001545690111549,0.0108236693641339,0.0008321403050615,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0236855682463239,0.0007813515072963,0.0128618988821899,0.0001545690111549,0.0108236693641339,0.0008321403050615,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0236855682463239,0.0007813515072963,0.0128618988821899,0.0001545690111549,0.0108236693641339,0.0008321403050615,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0319450266695217,0.0012101100643245,0.0141637452296452,0.000272947154933,0.0177812814398765,0.001331387384186,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0319450266695217,0.0012101100643245,0.0141637452296452,0.000272947154933,0.0177812814398765,0.001331387384186,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0319450266695217,0.0012101100643245,0.0141637452296452,0.000272947154933,0.0177812814398765,0.001331387384186,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0319450266695217,0.0012101100643245,0.0141637452296452,0.000272947154933,0.0177812814398765,0.001331387384186,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0123431447026492,0.00021554346309,0.0102716510698578,0.0001438377363201,0.0020714936327914,0.0003004489559333,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0123431447026492,0.00021554346309,0.0102716510698578,0.0001438377363201,0.0020714936327914,0.0003004489559333,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0123431447026492,0.00021554346309,0.0102716510698578,0.0001438377363201,0.0020714936327914,0.0003004489559333,30,clean_w16_n512
core_interaction_c025,512,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0123431447026492,0.00021554346309,0.0102716510698578,0.0001438377363201,0.0020714936327914,0.0003004489559333,30,clean_w16_n512
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0697202946486286,0.0014817407437617,0.0072121170893133,0.0003033676128734,0.0625081775593153,0.0016310924563615,30,clean_w16_n768
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0697202946486286,0.0014817407437617,0.0072121170893133,0.0003033676128734,0.0625081775593153,0.0016310924563615,30,clean_w16_n768
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0697202946486286,0.0014817407437617,0.0072121170893133,0.0003033676128734,0.0625081775593153,0.0016310924563615,30,clean_w16_n768
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.0697202946486286,0.0014817407437617,0.0072121170893133,0.0003033676128734,0.0625081775593153,0.0016310924563615,30,clean_w16_n768
